HEXOSKINTIME,VALUE
372177699741,0
372177699997,0
372177700253,0
372177700509,0
372177700765,0
372177701021,0
372177701277,121
372177701533,125
372177701789,0
372177702045,0
372177702301,0
372177702557,149
372177702813,177
372177703069,169
372177703325,0
372177703581,142
372177703837,133
372177704093,138
372177704349,139
372177704605,0
372177704861,134
372177705117,132
372177705373,132
372177705629,131
372177705885,129
372177706141,128
372177706397,0
372177706653,0
372177706909,0
372177707165,126
372177707421,126
372177707677,0
372177707933,128
372177708189,129
372177708445,128
372177708701,125
372177708957,0
372177709213,0
372177709469,123
372177709725,124
372177709981,127
372177710237,130
372177710493,130
372177710749,126
372177711005,122
372177711261,141
372177711517,169
372177711773,155
372177712029,135
372177712285,152
372177712541,152
372177712797,124
372177713053,111
372177713309,112
372177713565,110
372177713821,129
372177714077,0
372177714333,0
372177714589,164
372177714845,162
372177715101,136
372177715357,123
372177715613,0
372177715869,0
372177716125,121
372177716381,0
372177716637,0
372177716893,0
372177717149,0
372177717405,119
372177717661,119
372177717917,122
372177718173,123
372177718429,0
372177718685,0
372177718941,117
372177719197,108
372177719453,0
372177719709,0
372177719965,112
372177720221,115
372177720477,106
372177720733,0
372177720989,109
372177721245,120
372177721501,0
372177721757,125
372177722013,0
372177722269,126
372177722525,126
372177722781,126
372177723037,0
372177723293,0
372177723549,0
372177723805,124
372177724061,123
372177724317,0
372177724573,128
372177724829,133
372177725085,151
372177725341,0
372177725597,176
372177725853,163
372177726109,147
372177726365,178
372177726621,0
372177726877,0
372177727133,0
372177727389,221
372177727645,216
372177727901,164
372177728157,0
372177728413,0
372177728669,122
372177728925,111
372177729181,112
372177729437,115
372177729693,111
372177729949,121
372177730205,151
372177730461,152
372177730717,128
372177730973,114
372177731229,115
372177731485,121
372177731741,122
372177731997,119
372177732253,116
372177732509,115
372177732765,116
372177733021,115
372177733277,0
372177733533,107
372177733789,0
372177734045,0
372177734301,98
372177734557,106
372177734813,0
372177735069,0
372177735325,0
372177735581,120
372177735837,122
372177736093,120
372177736349,119
372177736605,119
372177736861,119
372177737117,121
372177737373,122
372177737629,122
372177737885,121
372177738141,121
372177738397,121
372177738653,121
372177738909,117
372177739165,115
372177739421,114
372177739677,112
372177739933,112
372177740189,115
372177740445,117
372177740701,117
372177740957,114
372177741213,112
372177741469,111
372177741725,114
372177741981,116
372177742237,116
372177742493,114
372177742749,113
372177743005,114
372177743261,115
372177743517,114
372177743773,111
372177744029,129
372177744285,162
372177744541,157
372177744797,127
372177745053,113
372177745309,114
372177745565,0
372177745821,0
372177746077,118
372177746333,120
372177746589,120
372177746845,116
372177747101,112
372177747357,111
372177747613,112
372177747869,112
372177748125,110
372177748381,0
372177748637,0
372177748893,109
372177749149,110
372177749405,111
372177749661,115
372177749917,117
372177750173,117
372177750429,118
372177750685,118
372177750941,119
372177751197,119
372177751453,119
372177751709,119
372177751965,119
372177752221,118
372177752477,118
372177752733,119
372177752989,119
372177753245,0
372177753501,119
372177753757,119
372177754013,120
372177754269,121
372177754525,118
372177754781,114
372177755037,113
372177755293,114
372177755549,115
372177755805,114
372177756061,113
372177756317,111
372177756573,109
372177756829,111
372177757085,113
372177757341,115
372177757597,116
372177757853,116
372177758109,116
372177758365,117
372177758621,118
372177758877,119
372177759133,118
372177759389,115
372177759645,113
372177759901,112
372177760157,111
372177760413,111
372177760669,111
372177760925,111
372177761181,111
372177761437,111
372177761693,112
372177761949,112
372177762205,113
372177762461,112
372177762717,111
372177762973,111
372177763229,111
372177763485,110
372177763741,110
372177763997,110
372177764253,111
372177764509,111
372177764765,110
372177765021,109
372177765277,109
372177765533,109
372177765789,109
372177766045,110
372177766301,111
372177766557,110
372177766813,108
372177767069,108
372177767325,109
372177767581,111
372177767837,113
372177768093,113
372177768349,113
372177768605,115
372177768861,118
372177769117,117
372177769373,114
372177769629,111
372177769885,111
372177770141,111
372177770397,112
372177770653,113
372177770909,114
372177771165,114
372177771421,112
372177771677,114
372177771933,117
372177772189,122
372177772445,123
372177772701,122
372177772957,123
372177773213,119
372177773469,110
372177773725,107
372177773981,107
372177774237,108
372177774493,110
372177774749,112
372177775005,105
372177775261,94
372177775517,96
372177775773,107
372177776029,113
372177776285,116
372177776541,116
372177776797,134
372177777053,165
372177777309,160
372177777565,131
372177777821,114
372177778077,114
372177778333,0
372177778589,119
372177778845,121
372177779101,120
372177779357,119
372177779613,119
372177779869,118
372177780125,118
372177780381,118
372177780637,138
372177780893,167
372177781149,159
372177781405,129
372177781661,116
372177781917,111
372177782173,0
372177782429,104
372177782685,103
372177782941,112
372177783197,121
372177783453,122
372177783709,118
372177783965,115
372177784221,116
372177784477,119
372177784733,118
372177784989,117
372177785245,121
372177785501,123
372177785757,123
372177786013,0
372177786269,0
372177786525,123
372177786781,124
372177787037,143
372177787293,170
372177787549,160
372177787805,131
372177788061,116
372177788317,116
372177788573,123
372177788829,126
372177789085,126
372177789341,125
372177789597,125
372177789853,125
372177790109,124
372177790365,121
372177790621,119
372177790877,121
372177791133,122
372177791389,121
372177791645,119
372177791901,118
372177792157,118
372177792413,119
372177792669,119
372177792925,121
372177793181,124
372177793437,120
372177793693,112
372177793949,110
372177794205,114
372177794461,119
372177794717,122
372177794973,122
372177795229,121
372177795485,120
372177795741,118
372177795997,119
372177796253,119
372177796509,119
372177796765,119
372177797021,118
372177797277,117
372177797533,116
372177797789,114
372177798045,114
372177798301,0
372177798557,119
372177798813,122
372177799069,121
372177799325,122
372177799581,125
372177799837,129
372177800093,0
372177800349,131
372177800605,128
372177800861,126
372177801117,126
372177801373,126
372177801629,127
372177801885,125
372177802141,120
372177802397,117
372177802653,114
372177802909,110
372177803165,113
372177803421,120
372177803677,125
372177803933,129
372177804189,130
372177804445,129
372177804701,128
372177804957,127
372177805213,124
372177805469,123
372177805725,126
372177805981,128
372177806237,128
372177806493,128
372177806749,129
372177807005,0
372177807261,0
372177807517,131
372177807773,132
372177808029,130
372177808285,127
372177808541,127
372177808797,129
372177809053,130
372177809309,132
372177809565,136
372177809821,0
372177810077,0
372177810333,143
372177810589,0
372177810845,0
372177811101,139
372177811357,124
372177811613,111
372177811869,106
372177812125,114
372177812381,129
372177812637,129
372177812893,0
372177813149,117
