HEXOSKINTIME,VALUE
372177699741,70
372177699997,70
372177700253,70
372177700509,70
372177700765,70
372177701021,70
372177701277,70
372177701533,70
372177701789,98
372177702045,98
372177702301,98
372177702557,98
372177702813,101
372177703069,107
372177703325,103
372177703581,105
372177703837,108
372177704093,109
372177704349,109
372177704605,108
372177704861,105
372177705117,104
372177705373,103
372177705629,102
372177705885,101
372177706141,99
372177706397,97
372177706653,97
372177706909,97
372177707165,96
372177707421,94
372177707677,94
372177707933,92
372177708189,90
372177708445,88
372177708701,84
372177708957,84
372177709213,84
372177709469,83
372177709725,82
372177709981,81
372177710237,80
372177710493,80
372177710749,79
372177711005,78
372177711261,78
372177711517,78
372177711773,79
372177712029,80
372177712285,82
372177712541,82
372177712797,83
372177713053,84
372177713309,85
372177713565,86
372177713821,86
372177714077,87
372177714333,87
372177714589,88
372177714845,88
372177715101,90
372177715357,90
372177715613,91
372177715869,91
372177716125,92
372177716381,92
372177716637,92
372177716893,92
372177717149,92
372177717405,95
372177717661,98
372177717917,102
372177718173,102
372177718429,105
372177718685,105
372177718941,105
372177719197,104
372177719453,104
372177719709,104
372177719965,103
372177720221,102
372177720477,102
372177720733,102
372177720989,101
372177721245,100
372177721501,99
372177721757,99
372177722013,99
372177722269,98
372177722525,98
372177722781,97
372177723037,95
372177723293,95
372177723549,95
372177723805,98
372177724061,101
372177724317,102
372177724573,103
372177724829,104
372177725085,105
372177725341,105
372177725597,105
372177725853,102
372177726109,102
372177726365,100
372177726621,99
372177726877,99
372177727133,99
372177727389,98
372177727645,96
372177727901,95
372177728157,95
372177728413,95
372177728669,92
372177728925,91
372177729181,89
372177729437,88
372177729693,88
372177729949,88
372177730205,88
372177730461,87
372177730717,86
372177730973,85
372177731229,84
372177731485,84
372177731741,83
372177731997,83
372177732253,82
372177732509,81
372177732765,79
372177733021,80
372177733277,80
372177733533,81
372177733789,81
372177734045,81
372177734301,81
372177734557,81
372177734813,81
372177735069,81
372177735325,81
372177735581,80
372177735837,80
372177736093,80
372177736349,79
372177736605,79
372177736861,79
372177737117,79
372177737373,79
372177737629,77
372177737885,76
372177738141,76
372177738397,77
372177738653,77
372177738909,77
372177739165,78
372177739421,78
372177739677,79
372177739933,80
372177740189,80
372177740445,81
372177740701,81
372177740957,82
372177741213,82
372177741469,82
372177741725,82
372177741981,82
372177742237,82
372177742493,81
372177742749,80
372177743005,80
372177743261,79
372177743517,78
372177743773,78
372177744029,77
372177744285,77
372177744541,77
372177744797,77
372177745053,78
372177745309,79
372177745565,80
372177745821,80
372177746077,80
372177746333,81
372177746589,82
372177746845,83
372177747101,84
372177747357,84
372177747613,84
372177747869,83
372177748125,82
372177748381,82
372177748637,82
372177748893,80
372177749149,79
372177749405,78
372177749661,78
372177749917,78
372177750173,77
372177750429,77
372177750685,76
372177750941,75
372177751197,75
372177751453,75
372177751709,75
372177751965,75
372177752221,75
372177752477,75
372177752733,75
372177752989,74
372177753245,74
372177753501,74
372177753757,73
372177754013,73
372177754269,73
372177754525,73
372177754781,73
372177755037,73
372177755293,73
372177755549,73
372177755805,73
372177756061,73
372177756317,73
372177756573,74
372177756829,74
372177757085,75
372177757341,77
372177757597,77
372177757853,78
372177758109,79
372177758365,79
372177758621,81
372177758877,81
372177759133,82
372177759389,82
372177759645,82
372177759901,82
372177760157,82
372177760413,82
372177760669,81
372177760925,81
372177761181,81
372177761437,80
372177761693,80
372177761949,80
372177762205,80
372177762461,80
372177762717,79
372177762973,79
372177763229,78
372177763485,78
372177763741,78
372177763997,78
372177764253,78
372177764509,78
372177764765,78
372177765021,78
372177765277,78
372177765533,78
372177765789,78
372177766045,78
372177766301,79
372177766557,79
372177766813,79
372177767069,79
372177767325,80
372177767581,80
372177767837,81
372177768093,82
372177768349,83
372177768605,83
372177768861,84
372177769117,85
372177769373,86
372177769629,87
372177769885,88
372177770141,89
372177770397,89
372177770653,90
372177770909,90
372177771165,92
372177771421,92
372177771677,91
372177771933,90
372177772189,89
372177772445,88
372177772701,86
372177772957,84
372177773213,84
372177773469,83
372177773725,82
372177773981,81
372177774237,80
372177774493,80
372177774749,81
372177775005,84
372177775261,85
372177775517,87
372177775773,90
372177776029,92
372177776285,94
372177776541,95
372177776797,98
372177777053,100
372177777309,100
372177777565,102
372177777821,103
372177778077,104
372177778333,104
372177778589,103
372177778845,102
372177779101,101
372177779357,100
372177779613,99
372177779869,98
372177780125,96
372177780381,95
372177780637,95
372177780893,94
372177781149,94
372177781405,94
372177781661,95
372177781917,96
372177782173,96
372177782429,97
372177782685,96
372177782941,97
372177783197,97
372177783453,98
372177783709,98
372177783965,99
372177784221,100
372177784477,101
372177784733,102
372177784989,104
372177785245,105
372177785501,105
372177785757,105
372177786013,105
372177786269,105
372177786525,104
372177786781,104
372177787037,104
372177787293,103
372177787549,103
372177787805,103
372177788061,103
372177788317,103
372177788573,102
372177788829,102
372177789085,102
372177789341,101
372177789597,99
372177789853,98
372177790109,96
372177790365,95
372177790621,94
372177790877,93
372177791133,92
372177791389,93
372177791645,93
372177791901,93
372177792157,94
372177792413,94
372177792669,93
372177792925,93
372177793181,93
372177793437,92
372177793693,92
372177793949,92
372177794205,91
372177794461,91
372177794717,92
372177794973,92
372177795229,93
372177795485,94
372177795741,95
372177795997,95
372177796253,95
372177796509,96
372177796765,96
372177797021,96
372177797277,95
372177797533,95
372177797789,94
372177798045,93
372177798301,93
372177798557,94
372177798813,94
372177799069,96
372177799325,95
372177799581,95
372177799837,95
372177800093,95
372177800349,93
372177800605,92
372177800861,91
372177801117,90
372177801373,90
372177801629,90
372177801885,89
372177802141,89
372177802397,88
372177802653,89
372177802909,89
372177803165,91
372177803421,92
372177803677,94
372177803933,95
372177804189,94
372177804445,94
372177804701,92
372177804957,92
372177805213,91
372177805469,91
372177805725,91
372177805981,91
372177806237,91
372177806493,91
372177806749,91
372177807005,92
372177807261,92
372177807517,93
372177807773,93
372177808029,95
372177808285,96
372177808541,96
372177808797,95
372177809053,95
372177809309,95
372177809565,95
372177809821,97
372177810077,97
372177810333,96
372177810589,95
372177810845,95
372177811101,95
372177811357,96
372177811613,97
372177811869,98
372177812125,98
372177812381,99
372177812637,102
372177812893,102
372177813149,102
372177813405,102
372177813661,104
372177813917,104
372177814173,104
372177814429,103
372177814685,103
372177814941,104
372177815197,104
372177815453,103
372177815709,103
372177815965,103
372177816221,103
372177816477,103
372177816733,102
372177816989,102
372177817245,102
372177817501,103
372177817757,103
372177818013,102
372177818269,102
372177818525,103
372177818781,104
372177819037,105
372177819293,105
372177819549,105
372177819805,105
372177820061,104
372177820317,104
372177820573,103
372177820829,102
372177821085,100
372177821341,99
372177821597,98
372177821853,98
372177822109,98
372177822365,98
372177822621,98
372177822877,98
372177823133,98
372177823389,98
372177823645,99
372177823901,99
372177824157,100
372177824413,101
372177824669,103
372177824925,103
372177825181,104
372177825437,105
372177825693,106
372177825949,106
372177826205,106
372177826461,106
372177826717,108
372177826973,111
372177827229,112
372177827485,113
372177827741,113
372177827997,113
372177828253,113
372177828509,113
372177828765,113
372177829021,113
372177829277,113
372177829533,113
372177829789,113
372177830045,113
372177830301,113
372177830557,113
372177830813,113
372177831069,113
372177831325,113
372177831581,113
372177831837,114
372177832093,116
372177832349,118
372177832605,118
372177832861,118
372177833117,118
372177833373,118
372177833629,118
372177833885,118
372177834141,118
372177834397,118
372177834653,116
372177834909,114
372177835165,113
372177835421,108
372177835677,104
372177835933,104
372177836189,103
372177836445,102
372177836701,100
372177836957,95
372177837213,95
372177837469,95
372177837725,96
372177837981,96
372177838237,96
372177838493,96
372177838749,97
372177839005,99
372177839261,100
372177839517,100
372177839773,102
372177840029,102
372177840285,102
372177840541,102
372177840797,102
372177841053,103
372177841309,103
372177841565,103
372177841821,103
372177842077,103
372177842333,103
372177842589,103
372177842845,103
372177843101,103
372177843357,103
372177843613,103
372177843869,103
372177844125,103
372177844381,102
372177844637,102
372177844893,102
372177845149,102
372177845405,102
372177845661,102
372177845917,101
372177846173,101
372177846429,102
372177846685,101
372177846941,101
372177847197,101
372177847453,100
372177847709,100
372177847965,100
372177848221,101
372177848477,101
372177848733,102
372177848989,105
372177849245,108
372177849501,110
372177849757,113
372177850013,114
372177850269,114
372177850525,118
372177850781,118
372177851037,118
372177851293,117
372177851549,116
372177851805,116
372177852061,116
372177852317,116
372177852573,116
372177852829,114
372177853085,113
372177853341,112
372177853597,111
372177853853,111
372177854109,111
372177854365,110
372177854621,107
372177854877,103
372177855133,102
372177855389,101
372177855645,99
372177855901,99
372177856157,97
372177856413,96
372177856669,94
372177856925,94
372177857181,94
372177857437,95
372177857693,95
372177857949,96
372177858205,96
372177858461,97
372177858717,97
372177858973,97
372177859229,98
372177859485,99
372177859741,99
372177859997,99
372177860253,100
372177860509,100
372177860765,100
372177861021,100
372177861277,100
372177861533,99
372177861789,99
372177862045,100
372177862301,101
372177862557,103
372177862813,103
372177863069,103
372177863325,104
372177863581,105
372177863837,105
372177864093,105
372177864349,106
372177864605,105
372177864861,105
372177865117,104
372177865373,103
372177865629,104
372177865885,104
372177866141,105
372177866397,105
372177866653,106
372177866909,108
372177867165,111
372177867421,113
372177867677,115
372177867933,116
372177868189,118
372177868445,118
372177868701,118
372177868957,118
372177869213,118
372177869469,118
372177869725,118
372177869981,118
372177870237,118
372177870493,118
372177870749,118
372177871005,119
372177871261,119
372177871517,119
372177871773,119
372177872029,118
372177872285,117
372177872541,117
372177872797,114
372177873053,114
372177873309,112
372177873565,115
372177873821,115
372177874077,115
372177874333,115
372177874589,115
372177874845,113
372177875101,113
372177875357,113
372177875613,113
372177875869,113
372177876125,112
372177876381,108
372177876637,107
372177876893,105
372177877149,103
372177877405,101
372177877661,98
372177877917,93
372177878173,92
372177878429,89
372177878685,88
372177878941,88
372177879197,88
372177879453,88
372177879709,88
372177879965,88
372177880221,88
372177880477,88
372177880733,88
372177880989,89
372177881245,89
372177881501,89
372177881757,89
372177882013,91
372177882269,92
372177882525,92
372177882781,92
372177883037,92
372177883293,91
372177883549,91
372177883805,91
372177884061,92
372177884317,92
372177884573,92
372177884829,92
372177885085,92
372177885341,91
372177885597,91
372177885853,91
372177886109,90
372177886365,91
372177886621,93
372177886877,95
372177887133,97
372177887389,98
372177887645,98
372177887901,98
372177888157,96
372177888413,95
372177888669,94
372177888925,93
372177889181,93
372177889437,93
372177889693,93
372177889949,92
372177890205,92
372177890461,92
372177890717,93
372177890973,94
372177891229,95
372177891485,96
372177891741,96
372177891997,96
372177892253,95
372177892509,95
372177892765,94
372177893021,94
372177893277,93
372177893533,93
372177893789,93
372177894045,94
372177894301,95
372177894557,95
372177894813,96
372177895069,97
372177895325,98
372177895581,98
372177895837,98
372177896093,98
372177896349,99
372177896605,99
372177896861,100
372177897117,101
372177897373,102
372177897629,101
372177897885,101
372177898141,103
372177898397,105
372177898653,105
372177898909,105
372177899165,104
372177899421,104
372177899677,105
372177899933,105
372177900189,107
372177900445,107
372177900701,107
372177900957,107
372177901213,107
372177901469,107
372177901725,109
372177901981,110
372177902237,115
372177902493,115
372177902749,113
372177903005,112
372177903261,113
372177903517,113
372177903773,113
372177904029,114
372177904285,114
372177904541,114
372177904797,114
372177905053,114
372177905309,113
372177905565,111
372177905821,112
372177906077,113
372177906333,114
372177906589,114
372177906845,114
372177907101,113
372177907357,111
372177907613,109
372177907869,106
372177908125,104
372177908381,102
372177908637,100
372177908893,98
372177909149,96
372177909405,94
372177909661,94
372177909917,97
372177910173,101
372177910429,105
372177910685,108
372177910941,113
372177911197,116
372177911453,117
372177911709,119
372177911965,118
372177912221,118
372177912477,117
372177912733,116
372177912989,115
372177913245,113
372177913501,112
372177913757,112
372177914013,111
372177914269,111
372177914525,111
372177914781,111
372177915037,112
372177915293,112
372177915549,114
372177915805,114
372177916061,114
372177916317,115
372177916573,115
372177916829,117
372177917085,117
372177917341,118
372177917597,118
372177917853,118
372177918109,118
372177918365,118
372177918621,118
372177918877,117
372177919133,116
372177919389,115
372177919645,115
372177919901,115
372177920157,115
372177920413,115
372177920669,116
372177920925,116
372177921181,116
372177921437,116
372177921693,115
372177921949,115
372177922205,114
372177922461,112
372177922717,112
372177922973,111
372177923229,110
372177923485,108
372177923741,106
372177923997,105
372177924253,104
372177924509,103
372177924765,103
372177925021,103
372177925277,103
372177925533,103
372177925789,102
372177926045,101
372177926301,100
372177926557,100
372177926813,99
372177927069,98
372177927325,97
372177927581,97
372177927837,96
372177928093,96
372177928349,95
372177928605,95
372177928861,95
372177929117,95
372177929373,94
372177929629,94
372177929885,94
372177930141,94
372177930397,94
372177930653,94
372177930909,95
372177931165,95
372177931421,97
372177931677,98
372177931933,98
372177932189,98
372177932445,98
372177932701,98
372177932957,100
372177933213,100
372177933469,101
372177933725,101
